contMencion,contPalabrasConArrDentro,contCaracterEspecial,contSignosPuntucion,contCaracMayusculas,contLetrasRepetidas,contParentesis,contEmojis,contOnomatopeyas,contInterjecciones,contInterpelaciones,contDiminutivos,contAumentativos,contPeroyativos,contSuperlativos,conDeterminantes,contIndeterminados,contDemostrativos,contPronombres1eraPersona,contPronombres2onaPersona,contVerbosSerEstarParecer,contVerbosEnPrimeraPersona,contVerbosEnSegundaPersona,contVerbosIndicativos,contVerbosSubjuntivos,contVerbosPresente,contVerbosImperativo,contVerbosPreterito,contVerbosFuturo,contVerbosCondicional,contVerbosParticipio,contVerbosGerundio,contAdverbiosCantidad,contAdverbiosNegacion,contAdverbiosDuda,contAdjetivosCantidad,insultos,likes,retweets,hora,seguidors,seguits,tema,actividad
2,0,0,5,10.606,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,79375,1389,1626,TV,V
0,0,0,1,4.348,0,0,0,1,1,1,0,1,1,0,2,1,0,0,0,0,2,3,3,3,3,2,2,0,0,0,0,0,0,0,0,1,3,0,78615,331,299,TV,A
0,0,3,9,2.137,4,0,0,2,6,5,0,0,0,0,5,1,0,0,0,1,5,4,6,4,6,3,3,0,0,1,0,1,0,0,0,7,0,1,78080,8665,3996,TV,A
0,0,2,5,2.353,0,0,0,3,2,3,1,1,1,0,1,0,2,0,0,1,7,3,7,4,8,4,5,0,0,2,0,1,0,0,0,3,1,1,77692,8665,3996,TV,A
0,0,2,9,1.282,2,0,0,0,3,1,0,0,0,0,1,0,0,0,0,3,4,3,4,3,4,3,3,0,0,0,0,0,2,0,0,2,0,0,77430,8665,3996,TV,A
1,0,1,12,1.676,5,0,0,1,2,1,1,1,0,0,0,0,1,0,1,1,6,4,6,5,6,4,5,1,0,1,0,1,3,0,0,1,1,0,77207,8665,3996,TV,A
0,0,0,9,6.633,2,0,0,1,4,3,0,0,0,0,0,0,0,0,0,1,2,2,5,5,5,3,3,0,0,0,1,0,1,0,0,1,5,2,76874,207,304,TV,V
0,0,1,3,3.175,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,2,2,2,2,1,0,0,0,0,0,1,0,0,3,2,0,76427,2213,1578,TV,A
1,0,0,4,3.546,2,0,1,4,3,3,1,0,2,0,0,1,0,0,1,1,4,4,5,4,5,3,2,0,0,0,0,0,0,0,0,1,0,0,75727,232,556,TV,A
0,0,0,0,7.143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,75487,99,261,TV,A
